SapNo;SapNoZw
3266843;105709
3223564;105709
3631764;106007
3451724;106007
3198457;106007
4430408;106007
3170750;106007
3266843;106007
4497980;106007
3980631;106007
3223564;106007
3400746;106007
3881416;106007
3631764;106010
3451724;106010
3223564;106010
3266843;106010
3170750;106010
2983160;119876
2684225;121519
820880;121519
802623;121519
925511;121519
2416987;121519
925482;121519
3631764;205440
3266843;205440
4430408;205440
3451724;205440
2896331;235357
1894986;235357
3892150;243380
2684225;278256
1007792;278256
1596225;278256
802623;278256
2198053;278256
2416987;278256
3933118;278256
1441996;278256
4878100;278256
2181888;278256
994812;278256
802624;278256
4002924;278256
1868008;278256
1869023;303370
1869028;303370
2981481;303370
1869014;303370
3545860;303370
1869024;303370
3545862;303370
1869027;303370
3545736;303370
2226648;1142848
2056892;1142848
2078223;1142848
2909580;1142848
1888480;1142848
1901118;1142848
2092375;1142848
2928408;1142848
1876924;1142848
1992067;1142848
2006019;1142848
1876932;1142848
1886294;1142848
2162091;1142848
2274316;1142848
2162092;1142848
2092373;1142848
1894354;1142848
2092376;1142848
2092377;1142848
2909577;1142848
2005582;1142848
2162143;1142848
2162144;1142848
2162142;1142848
2981482;1142848
2909579;1142848
2228964;1142848
1992065;1142848
2909576;1142848
2162093;1142848
2092378;1142848
2162767;1142848
2195498;1142848
1886291;1142848
2252787;1142848
2005584;1142848
2092374;1142848
2516038;1142848
2990424;1142848
2092371;1142848
2092370;1142848
2909578;1142848
2092372;1142848
2224703;1142848
2051492;1142848
2749130;1142848
1160828;1151427
925482;1162365
925511;1162365
2379071;1163603
802623;1178879
2241387;1178879
2654006;1184867
2394832;1192669
966351;1203843
3402867;1208421
1608337;1208421
1188852;1208421
1481994;1208421
3535252;1208421
1442627;1208421
3316553;1213996
1441996;1213996
1404668;1213996
4704947;1213996
4704949;1213996
1606621;1213996
1931510;1213996
925511;1213996
4704924;1213996
820880;1213996
3402870;1213996
3402870;1216659
1606621;1216659
1931510;1216659
1404668;1216659
1005125;1220284
1869032;1220284
1869034;1220284
1944321;1220284
3284894;1220284
2195956;1220284
1045029;1220284
1103940;1220284
1386463;1220284
1598580;1220284
2119273;1220284
2153717;1220284
2942322;1220284
303370;1220284
3058540;1220284
3149839;1220284
3472244;1220284
3602122;1220284
1505936;1220284
1984063;1220284
2021914;1220284
2156298;1220284
2310034;1220284
2420817;1220284
4553702;1220284
5062707;1220284
5064459;1220284
3400173;1220284
3498470;1220284
1335045;1220284
1690655;1220284
1869030;1220284
1900185;1220284
2379688;1220284
2426891;1220284
3622313;1220284
119876;1220284
1648732;1220284
2113378;1220284
2126992;1220284
2241566;1220284
2334774;1220284
3540921;1220284
485002;1220284
5040473;1220284
878909;1220284
952607;1220284
1142848;1220284
1983479;1220284
2009101;1220284
2123965;1220284
2155928;1220284
2402898;1220284
3022384;1220284
3647500;1220284
1133347;1220284
1212280;1220284
1605666;1220284
1897396;1220284
1947824;1220284
2897535;1220284
2942333;1220284
3051512;1220284
3186181;1220284
303873;1220284
3624075;1220284
1903193;1220284
2026914;1220284
2156145;1220284
2680229;1220284
2778657;1220284
2781431;1220284
2021888;1220284
2133168;1220284
2198314;1220284
2497354;1220284
3403033;1220284
379965;1220284
4283047;1220284
5134993;1220284
1395546;1220284
1479924;1220284
1591870;1220284
2006265;1220284
2093915;1220284
2232079;1220284
2485027;1220284
2829692;1220284
3095443;1220284
3364464;1220284
1064431;1220284
1103676;1220284
1290926;1220284
1616545;1220284
1930138;1220284
2021975;1220284
2871845;1220284
3060735;1220284
3990900;1220284
978884;1220284
978927;1220284
1008419;1220284
1032205;1220284
1535397;1220284
1869017;1220284
1882439;1220284
1940933;1220284
2508911;1220284
2971383;1220284
3234850;1220284
3246507;1220284
989453;1220284
990721;1220284
379967;1220284
1933982;1220284
1970811;1220284
2021915;1220284
2138610;1220284
2163762;1220284
1073920;1220284
2896331;411896
3921593;413892
3921591;413892
4401458;413892
4541815;413892
3753869;413892
4401457;413892
3921592;413892
4107061;413892
3776930;413892
3921594;413892
3367638;413892
3638652;413892
4541816;413892
4401456;413892
4429410;413892
3638650;413892
3776928;413892
3631764;517208
3343687;517208
3198457;517208
3451724;517208
3223564;517208
3266843;517208
3170750;517208
3631764;517223
3266843;517223
3631764;537231
3223564;537231
3266843;537231
3170750;537231
538886;538855
538886;538857
538940;538941
538939;538941
4716133;617920
4693475;617920
4693468;617920
4693461;617920
4693483;617920
4693469;617920
4862981;617920
4775015;617920
4693478;617920
4693485;617920
4715890;617920
4693471;617920
4693489;617920
4716132;617920
4693482;617920
4775014;617920
4739251;617920
4693479;617920
4693481;617920
4364512;617920
4693473;617920
4862983;617920
4775020;617920
4693472;617920
4693487;617920
4372908;617920
4314553;617920
4364499;617920
4693476;617920
4693484;617920
4693474;617920
4693486;617920
4562534;617920
4693480;617920
4693470;617920
4693477;617920
4775013;617920
3945864;617920
4693462;617920
4862982;617920
2739938;643143
2580376;643143
3033116;643143
2739937;643143
2580238;643143
2873045;643143
3033115;643143
2861631;643143
2580377;643143
2739939;643143
2580378;643143
2873041;643143
2873046;643143
745168;745169
745171;745169
745170;745169
2029106;757461
3933841;757461
925511;757461
4878100;757461
2241387;757461
2805198;757461
2291871;757461
2805196;757461
3316553;757802
1441996;757802
4704949;757802
4704947;757802
925511;757802
4704924;757802
820880;757802
2029106;809497
3933841;809497
2805196;809497
925511;809497
4878100;809497
2241387;809497
2805198;809497
2291871;809497
2058857;1319029
3146954;1319029
2903028;1319029
2707298;1319029
2058865;1319029
2685051;1319029
2058859;1319029
1319030;1319029
1812385;1319029
2058860;1319029
1812382;1319029
3146958;1319029
2058854;1319029
3146956;1319029
3006031;1319029
1319031;1319029
2058850;1319029
2707296;1319029
3126792;1319029
2058869;1319029
3146828;1319029
1188852;1321937
2241387;1321937
2088803;1337409
1343437;1341069
2648620;1341069
1343438;1341069
2088803;1341069
1343436;1341069
2648619;1341069
1188852;1342902
1343457;1343456
1343455;1343456
3928796;1347515
4426800;1347515
4359664;1347515
3939835;1347515
5344280;1347515
4494401;1347515
3468744;1347515
4203627;1347515
4426799;1347515
5344279;1347515
4969133;1347515
3928796;1347877
4426800;1347877
4359664;1347877
3939835;1347877
5344280;1347877
4494401;1347877
3468744;1347877
4203627;1347877
4426799;1347877
5344279;1347877
4969133;1347877
3967466;1348044
3967469;1348044
3967467;1348044
3967468;1348044
4443223;1348044
4443224;1348044
4663144;1348044
4663147;1348044
3955387;1348104
2664184;1348104
4376338;1348104
3967329;1351973
2648620;1352614
2648619;1352614
1346608;1352627
3955387;1353281
4376338;1353281
4376326;1353289
5253233;1353289
5106334;1353289
3882522;1353289
3897864;1353290
3973387;1353290
1208430;1369677
2654006;1369677
1373057;1373054
2758884;1373054
2758886;1373054
1372443;1373054
2758882;1373054
1373058;1373054
2758881;1373054
1373065;1373054
1373055;1373054
1373059;1373054
2758885;1373054
1373060;1373054
1373063;1373054
2758875;1373054
2758883;1373054
1373062;1373054
1373066;1373054
1373056;1373054
1373064;1373054
1373061;1373054
1373057;1373056
2758884;1373056
2758885;1373056
2758882;1373056
1373058;1373056
2758881;1373056
1373063;1373056
2758875;1373056
1373065;1373056
1373055;1373056
1373059;1373056
2758883;1373056
1373060;1373056
1373062;1373056
1373066;1373056
1373064;1373056
1373061;1373056
2758886;1373056
1372443;1373056
1373054;1373056
1373057;1373065
2758884;1373065
2758886;1373065
1372443;1373065
1373054;1373065
1373055;1373065
1373059;1373065
2758885;1373065
2758882;1373065
1373058;1373065
2758881;1373065
2758883;1373065
1373060;1373065
1373063;1373065
2758875;1373065
1373056;1373065
1373064;1373065
1373061;1373065
1373062;1373065
1373066;1373065
1373087;1373067
1373070;1373067
1373080;1373067
1373071;1373067
1373074;1373067
1373076;1373067
1373082;1373067
1373077;1373067
1373084;1373067
1373086;1373067
1373075;1373067
1373079;1373067
1373072;1373067
1373078;1373067
1373085;1373067
1373083;1373067
1373073;1373067
1373068;1373067
1373069;1373067
1373081;1373067
1373087;1373069
1373070;1373069
1373080;1373069
1373072;1373069
1373078;1373069
1373082;1373069
1373077;1373069
1373081;1373069
1373084;1373069
1373086;1373069
1373075;1373069
1373079;1373069
1373067;1373069
1373083;1373069
1373073;1373069
1373068;1373069
1373071;1373069
1373074;1373069
1373076;1373069
1373085;1373069
1373087;1373078
1373070;1373078
1373080;1373078
1373071;1373078
1373074;1373078
1373076;1373078
1373072;1373078
1373082;1373078
1373077;1373078
1373069;1373078
1373081;1373078
1373084;1373078
1373086;1373078
1373075;1373078
1373079;1373078
1373085;1373078
1373067;1373078
1373083;1373078
1373073;1373078
1373068;1373078
1373087;1373081
1373070;1373081
1373080;1373081
1373071;1373081
1373074;1373081
1373078;1373081
1373082;1373081
1373077;1373081
1373069;1373081
1373084;1373081
1373086;1373081
1373075;1373081
1373079;1373081
1373072;1373081
1373076;1373081
1373085;1373081
1373067;1373081
1373083;1373081
1373073;1373081
1373068;1373081
1373087;1373082
1373070;1373082
1373080;1373082
1373077;1373082
1373075;1373082
1373079;1373082
1373072;1373082
1373078;1373082
1373081;1373082
1373084;1373082
1373086;1373082
1373073;1373082
1373068;1373082
1373069;1373082
1373067;1373082
1373083;1373082
1373085;1373082
1373071;1373082
1373074;1373082
1373076;1373082
1373087;1373083
1373077;1373083
1373078;1373083
1373082;1373083
1373079;1373083
1373072;1373083
1373081;1373083
1373084;1373083
1373086;1373083
1373075;1373083
1373073;1373083
1373068;1373083
1373069;1373083
1373067;1373083
1373071;1373083
1373074;1373083
1373076;1373083
1373085;1373083
1373070;1373083
1373080;1373083
1373087;1373084
1373070;1373084
1373080;1373084
1373077;1373084
1373086;1373084
1373075;1373084
1373079;1373084
1373072;1373084
1373078;1373084
1373082;1373084
1373067;1373084
1373083;1373084
1373073;1373084
1373068;1373084
1373069;1373084
1373081;1373084
1373071;1373084
1373074;1373084
1373076;1373084
1373085;1373084
1373087;1373086
1373070;1373086
1373080;1373086
1373082;1373086
1373077;1373086
1373081;1373086
1373084;1373086
1373075;1373086
1373079;1373086
1373072;1373086
1373078;1373086
1373067;1373086
1373083;1373086
1373073;1373086
1373068;1373086
1373069;1373086
1373071;1373086
1373074;1373086
1373076;1373086
1373085;1373086
1753679;1374557
2654006;1374557
1753682;1374557
3903058;1376922
2269987;1376922
1753679;1383569
2654006;1383569
1753682;1383569
1394052;1383569
3751519;1734366
4639143;1734366
4716130;1734366
5406760;1734366
5410381;1734366
4050400;1734366
4819776;1734366
5406772;1734366
4414859;1734366
4819794;1734366
5410382;1734366
4463058;1734366
4791358;1734366
4965696;1734366
5406766;1734366
3620208;1734366
4306662;1734366
4882393;1734366
4819803;1734366
4965698;1734366
4791337;1734366
4791352;1734366
4819797;1734366
4819806;1734366
4882401;1734366
5406758;1734366
4274086;1734366
4565443;1734366
4819783;1734366
4819786;1734366
5085400;1734366
4882403;1734366
5085551;1734366
5405379;1734366
4651843;1734366
4819792;1734366
4819799;1734366
4694274;1734366
4791339;1734366
4791351;1734366
4819800;1734366
4819802;1734366
4882400;1734366
4479916;1734366
4639141;1734366
4639144;1734366
4791365;1734366
4791367;1734366
4397691;1734366
4965700;1734366
5406761;1734366
4819780;1734366
4819782;1734366
4791368;1734366
4986378;1734366
4819791;1734366
4031177;1734366
4138563;1734366
4399346;1734366
4791338;1734366
4819771;1734366
5085552;1734366
5406765;1734366
5406771;1734366
3931587;1734366
4819772;1734366
4819785;1734366
4930774;1734366
4965702;1734366
4965694;1734366
5406763;1734366
5406770;1734366
4819787;1734366
4819779;1734366
4986376;1734366
5085394;1734366
5410383;1734366
3419931;1734366
4819796;1734366
4819798;1734366
4819804;1734366
4965704;1734366
5406776;1734366
3720273;1734366
4791361;1734366
4882395;1734366
4882397;1734366
4772299;838983
4843081;838983
4963208;838983
4963224;838983
5049732;838983
5049745;838983
4283861;838983
4344319;838983
4639747;838983
4639762;838983
4639765;838983
4639775;838983
4843087;838983
4882077;838983
4963218;838983
5272731;838983
5272735;838983
5416858;838983
5272734;838983
5273191;838983
4639753;838983
4639757;838983
4802828;838983
4843070;838983
4142405;838983
4772276;838983
4842685;838983
4843068;838983
4843089;838983
5049488;838983
5049741;838983
5356987;838983
4772283;838983
5273118;838983
5356984;838983
4639772;838983
4842688;838983
4842946;838983
4843062;838983
5049486;838983
5049731;838983
5356569;838983
5356570;838983
5273120;838983
4138475;838983
4639743;838983
5049481;838983
5049730;838983
5049743;838983
4772287;838983
5416839;838983
5416880;838983
5416884;838983
4842955;838983
4963219;838983
5288110;838983
4842951;838983
5416844;838983
4843082;838983
4964762;838983
4639736;838983
4639742;838983
4842952;838983
4842953;838983
1995388;870571
1992060;870571
1992062;870571
1995386;870571
1992059;870571
1992061;870571
1995387;870571
1995385;870571
1992063;870571
1995389;870571
2289593;891561
2416987;891561
2291871;891561
2029106;898304
3316553;898304
3933841;898304
2805196;898304
1441996;898304
4878100;898304
2805198;898304
1188852;898304
4704947;898304
2291871;898304
4704949;898304
820880;898304
4704924;898304
2241387;898304
1441996;915231
743628;915231
1608337;915231
3402867;915231
4704949;915231
1404668;915231
1188852;915231
4704947;915231
4704924;915231
2241387;915231
820880;915231
1606621;915231
1931510;915231
925511;915231
3402870;915231
1481994;915231
3535252;915231
3316553;915231
1442627;915231
1608337;918744
1441996;918744
3402867;918744
4704949;918744
4704947;918744
1188852;918744
1404668;918744
4704924;918744
925511;918744
1606621;918744
1931510;918744
820880;918744
3402870;918744
3535252;918744
1481994;918744
3316553;918744
1442627;918744
925482;921988
925482;925588
925511;925588
1162365;925588
5287740;930984
5271353;930984
2291871;939076
820866;939076
820847;939076
3316553;947032
1441996;947032
4704947;947032
1404668;947032
4704949;947032
1606621;947032
1931510;947032
925511;947032
4704924;947032
820880;947032
3402870;947032
3316553;947567
4704949;947567
1441996;947567
820880;947567
925511;947567
4704924;947567
4704947;947567
3316553;947568
4704949;947568
1441996;947568
4704947;947568
820880;947568
925511;947568
4704924;947568
2711001;952606
2218716;952606
2305654;952606
4094942;952606
4492056;952606
1995389;952606
1753679;952606
3197142;952606
2783261;952606
3350770;952606
2785190;952606
3350768;952606
3360277;952606
4023580;952606
4024242;952606
3247052;952606
3350769;952606
3473407;952606
3560585;952606
3169429;952606
3350766;952606
2331365;952606
1992063;952606
2310833;952606
2884010;952606
3104202;952606
4284505;952606
3236566;952606
4094941;952606
1995385;952606
2173784;952606
2305655;952606
3375935;952606
3351281;952606
1753682;952606
1995387;952606
2313514;952606
2645870;952606
2785192;952606
1592070;952606
1992059;952606
1992061;952606
2706351;952606
2785199;952606
2789686;952606
3351282;952606
1592069;952606
1995386;952606
3339572;952606
4090407;952606
3449114;952606
2714867;952606
2785201;952606
2308873;952606
2785194;952606
3350767;952606
4024241;952606
2174937;952606
4024243;952606
1992060;952606
2783260;952606
4094730;952606
4430362;952606
1992062;952606
4515323;952606
3189022;952606
3358954;952606
3999577;952606
1995388;952606
3947768;952606
3479940;952606
3482774;952606
3892150;967698
3955387;968081
4654476;968081
4426949;968081
4426950;968081
3967329;968081
3245504;968081
3892150;968081
4443092;968081
4426799;968081
4446221;968081
4426948;968081
1995835;978737
1995834;978737
2253539;978737
1995833;978737
2507128;978737
2904809;978737
2546019;978737
2253542;978737
1992057;978737
1992064;978737
2253540;978737
1995832;978737
1426799;1220284
2289351;1220284
296298;1220284
317552;1220284
375625;1220284
2754188;1220284
2898177;1220284
3424625;1220284
3499204;1220284
1024869;1220284
1033317;1220284
4357660;1220284
921889;1220284
1867275;1220284
1869043;1220284
2129245;1220284
2677124;1220284
4090167;1220284
2993534;1220284
3270351;1220284
3307867;1220284
3499202;1220284
3624074;1220284
2197706;1220284
2570887;1220284
2768772;1220284
2942325;1220284
3197563;1220284
396122;1220284
2706294;1220284
1369675;1220284
1625794;1220284
1643284;1220284
1711236;1220284
1792282;1220284
1374557;1220284
1816025;1220284
2152979;1220284
2233843;1220284
2288481;1220284
2496379;1220284
4593630;1220284
1184867;1220284
296237;1220284
3381960;1220284
3740179;1220284
1109107;1220284
1694078;1220284
1753632;1220284
1894376;1220284
2710843;1220284
2717117;1220284
3403034;1220284
2316415;1220284
1113137;1220284
119871;1220284
1333866;1220284
1395547;1220284
1513888;1220284
1383566;1220284
1464347;1220284
1684622;1220284
2022462;1220284
214332;1220284
2156151;1220284
305453;1220284
3104049;1220284
396121;1220284
4488851;1220284
918558;1220284
1363870;1220284
1672803;1220284
1876356;1220284
1949082;1220284
2199000;1220284
300515;1220284
3012742;1220284
2942326;1220284
3433758;1220284
3637345;1220284
396120;1220284
938986;1220284
939152;1220284
196312;1220284
2019140;1220284
2259924;1220284
2677154;1220284
2887930;1220284
296227;1220284
3376100;1220284
3499251;1220284
4774252;1220284
1394052;1220284
1410509;1220284
1869033;1220284
1070863;1220284
1143341;1220284
1494160;1220284
2007178;1220284
2131696;1220284
2661178;1220284
2938084;1220284
296297;1220284
3095444;1220284
3111194;1220284
3364508;1220284
3766583;1220284
1680296;1220284
1840957;1220284
2093570;1220284
2142903;1220284
2614115;1220284
2752111;1220284
317551;1220284
3341204;1220284
3540059;1220284
4288247;1220284
4377721;1220284
1462312;1220284
4271760;1220284
4968332;1220284
5069686;1220284
747542;1220284
952606;1220284
2981480;1220284
2904443;1220284
2942321;1220284
2993533;1220284
3637298;1220284
3649451;1220284
379966;1220284
1938874;1220284
196310;1220284
2048425;1220284
2260478;1220284
2747017;1220284
2897534;1220284
1700940;1220284
1869016;1220284
1905521;1220284
2289293;1220284
1363871;1220284
1753157;1220284
2915203;1220284
3123876;1220284
877910;1220284
1088986;1220284
1143720;1220284
1512399;1220284
2013973;1220284
2122338;1220284
2225288;1220284
254326;1220284
2615797;1220284
2703507;1220284
2993441;1220284
4139842;1220284
1351260;1220284
1396289;1220284
1869040;1220284
1939965;1220284
991842;1220284
1070894;1220284
1869038;1220284
2156319;1220284
2706300;1220284
2714708;1220284
2845304;1220284
2782552;1220284
3035671;1220284
3097164;1220284
3324274;1220284
296226;1220284
2987493;1220284
3193192;1220284
3234854;1220284
3473288;1220284
990145;1220284
1112094;1220284
1348801;1220284
2136006;1220284
2558889;1220284
2680228;1220284
2271640;1220284
1224999;1220284
1290927;1220284
1395548;1220284
1632881;1220284
3518753;1220284
836710;1220284
1109106;1220284
119878;1220284
133041;1220284
1878641;1220284
1936263;1220284
196309;1220284
2431148;1220284
2942334;1220284
2993535;1220284
3166545;1220284
3346378;1220284
882336;1220284
1383569;1220284
1426414;1220284
1869035;1220284
2017591;1220284
2156060;1220284
2351161;1220284
2942332;1220284
296240;1220284
296302;1220284
2993536;1220284
3637299;1220284
1314112;1220284
3420566;1220284
2292050;1220284
2942331;1220284
3364507;1220284
3600330;1220284
2295032;1220284
1254687;1220284
3483711;1220284
4144369;1220284
119874;1220284
119877;1220284
271917;1220284
836018;1220284
2072676;1220284
2750311;1220284
3100997;1220284
1224559;1220284
3649452;1220284
4169120;1220284
119879;1220284
1177195;1220284
3978891;1220284
1338397;1220284
1163603;1220284
1290928;1220284
1638270;1220284
2605884;1220284
3364509;1220284
2175363;1220284
2045352;1220284
3530062;1220284
3903859;1220284
2334903;1220284
2677153;1220284
1151427;1220284
3316553;1220744
820880;1220744
4704924;1220744
1188852;1220744
4704947;1220744
1869023;317551
1869028;317551
2981481;317551
1869014;317551
1869024;317551
3545862;317551
1869027;317551
3545736;317551
3545860;317551
1753679;396121
2654006;396121
1753682;396121
3617212;428912
3631764;428912
3400746;428912
3881416;428912
3980631;428912
3198457;428912
4612582;428912
3617211;428912
3451724;428912
3223564;428912
4497980;428912
3343687;428912
3266843;428912
3170750;428912
3631764;471021
3343687;471021
3198457;471021
3451724;471021
3266843;471021
3631764;509004
3343687;509004
3223564;509004
3266843;509004
3170750;509004
3451724;509004
3631764;537232
3343687;537232
3451724;537232
3223564;537232
3266843;537232
3170750;537232
2015806;728089
1245929;728089
4236177;728089
1221779;728089
2230898;728089
2015807;728089
2223656;728089
1522075;728089
1230059;728089
1230061;728089
1230062;728089
745169;745168
745170;745168
745171;745168
774394;774379
774373;774379
774375;774379
1188852;784847
796303;808044
2019288;808044
2071143;808044
2205629;808044
1932410;808044
1966019;808044
2667055;808044
778826;808044
2019289;808044
3986910;808044
1002245;808044
2232707;808044
2145634;808044
2314064;808044
1002253;808044
2145635;808044
3986908;808044
2314065;808044
2314066;808044
1002248;808044
1002247;808044
2467918;808044
2205714;808044
3923596;808044
1807442;808044
4091061;808044
4484106;808044
1002244;808044
1874365;808044
2204338;808044
1807440;808044
2374709;808044
3402704;808044
2145706;808044
2490379;808044
4024920;808044
1002254;808044
4091062;808044
1874364;808044
2205713;808044
2232706;808044
4090330;808044
2379071;1296869
2394832;1296869
2354649;1296869
2387221;1296869
1290928;1317450
1290927;1317450
1348801;1317450
1290926;1317450
2058857;1319030
3146954;1319030
2903028;1319030
2707298;1319030
2058850;1319030
2707296;1319030
1319029;1319030
1812382;1319030
2058865;1319030
3006031;1319030
2058859;1319030
1319031;1319030
2685051;1319030
1812385;1319030
2058860;1319030
3126792;1319030
2058869;1319030
3146828;1319030
3146958;1319030
2058854;1319030
3146956;1319030
3451724;1342071
2648619;1343436
2088803;1343436
3077081;1343436
1352614;1343436
2648620;1343436
1746185;1343436
1352618;1343440
1343433;1343440
2088803;1343444
1343437;1343446
1352614;1343446
1746185;1343446
1343438;1343446
1343436;1343446
1352612;1343448
1343456;1343457
1343455;1343457
1346940;1346941
3955387;1347522
4376338;1347522
2664184;1347522
4359667;1347523
4458663;1347523
5253233;1347525
3897864;1347525
3973387;1347525
4376326;1347527
5253233;1347527
3882522;1347527
5106334;1347527
1377909;1348003
1347945;1348003
3973387;1348106
3897864;1348106
3844355;1348108
5252980;1348108
3967329;1348108
1343433;1352617
1352618;1352617
1394052;1363870
965368;1372442
965371;1372442
1373057;1372443
2758884;1372443
2758886;1372443
1373058;1372443
2758881;1372443
2758882;1372443
2758875;1372443
1373065;1372443
1373055;1372443
1373059;1372443
2758885;1372443
1373060;1372443
1373063;1372443
1373061;1372443
1373062;1372443
1373066;1372443
2758883;1372443
1373054;1372443
1373056;1372443
1373064;1372443
1373057;1373055
2758884;1373055
1372443;1373055
2758882;1373055
1373059;1373055
2758885;1373055
1373058;1373055
2758881;1373055
1373060;1373055
1373063;1373055
2758875;1373055
1373065;1373055
1373061;1373055
1373062;1373055
1373066;1373055
2758883;1373055
2758886;1373055
1373054;1373055
1373056;1373055
1373064;1373055
2758884;1373057
1372443;1373057
2758886;1373057
1373054;1373057
2758885;1373057
1373058;1373057
2758881;1373057
2758882;1373057
2758875;1373057
1373065;1373057
1373055;1373057
1373059;1373057
2758883;1373057
1373060;1373057
1373063;1373057
1373056;1373057
1373064;1373057
1373061;1373057
1373062;1373057
1373066;1373057
1373057;1373059
2758884;1373059
2758882;1373059
2758885;1373059
1373058;1373059
2758881;1373059
2758875;1373059
1373065;1373059
1373055;1373059
1373060;1373059
1373063;1373059
2758883;1373059
1373062;1373059
1373066;1373059
1373054;1373059
1373056;1373059
1373064;1373059
1373061;1373059
1372443;1373059
2758886;1373059
5085396;1734366
3729674;1734366
4479918;1734366
4819789;1734366
4819793;1734366
4882399;1734366
5406767;1734366
4716129;1734366
4791360;1734366
4819777;1734366
4791357;1734366
4819788;1734366
4882396;1734366
4930771;1734366
4565445;1734366
4791359;1734366
4882402;1734366
5406759;1734366
4498197;1734366
4638090;1734366
4791336;1734366
4791355;1734366
4791353;1734366
4791366;1734366
4819774;1734366
4397388;1734366
4721855;1734366
4819775;1734366
3652804;1734366
4306668;1734366
4397460;1734366
5406764;1734366
5406768;1734366
5406773;1734366
5409380;1734366
5085397;1734366
5406775;1734366
3986507;1734366
5085553;1734366
5406762;1734366
4659410;1734366
5406769;1734366
4791354;1734366
4791356;1734366
4819805;1734366
4986377;1734366
4660600;1734366
4819784;1734366
4819795;1734366
4819778;1734366
4819790;1734366
4756375;1734366
2349831;1739414
2018522;1763437
3687867;1763437
2791440;1763437
2822753;1763437
3844070;1763437
2822752;1763437
3350770;1763437
2894731;1763437
4492056;1763437
2822754;1763437
2791442;1763437
2822755;1763437
3122904;1763437
2018523;1763437
3962329;1763437
2791435;1763437
3169429;1763437
3614892;1763437
2324134;1763437
3531580;1763437
